stagione,data,partita,arbitro,mercato,quota,prob_%,edge_%,stake_€,esito,profitto_€
2023-24,2023-09-30T00:00:00.000,Salernitana vs Inter,—,X - Pareggio,4.81,25.2,21.2,6.94,✗ Persa,-6.94
2023-24,2023-09-30T00:00:00.000,Salernitana vs Inter,—,1 - Vittoria Casa,8.16,22.6,84.1,14.68,✗ Persa,-14.68
2023-24,2023-09-30T00:00:00.000,Lecce vs Napoli,—,Under 2.5 Gol,1.88,66.2,24.5,34.76,✗ Persa,-34.76
2023-24,2023-10-01T00:00:00.000,Udinese vs Genoa,—,Under 2.5 Gol,1.61,72.6,16.9,34.63,✗ Persa,-34.63
2023-24,2023-10-01T00:00:00.000,Udinese vs Genoa,—,1 - Vittoria Casa,2.38,50.2,19.4,17.56,✗ Persa,-17.56
2023-24,2023-10-06T00:00:00.000,Empoli vs Udinese,—,Under 2.5 Gol,1.9,61.2,16.3,22.69,✓ Vinta,20.42
2023-24,2023-10-06T00:00:00.000,Empoli vs Udinese,—,1 - Vittoria Casa,3.24,36.9,19.6,10.92,✗ Persa,-10.92
2023-24,2023-10-06T00:00:00.000,Lecce vs Sassuolo,—,Under 2.5 Gol,2.09,57.1,19.3,22.14,✓ Vinta,24.13
2023-24,2023-10-07T00:00:00.000,Inter vs Bologna,—,2 - Vittoria Ospite,8.08,19.4,56.7,10.01,✗ Persa,-10.01
2023-24,2023-10-07T00:00:00.000,Inter vs Bologna,—,X - Pareggio,5.17,24.5,26.5,7.93,✓ Vinta,33.07
2023-24,2023-10-07T00:00:00.000,Juventus vs Torino,—,Under 2.5 Gol,1.61,87.4,40.7,83.39,✓ Vinta,50.87
2023-24,2023-10-07T00:00:00.000,Juventus vs Torino,—,X - Pareggio,3.39,37,25.5,13.34,✗ Persa,-13.34
2023-24,2023-10-07T00:00:00.000,Genoa vs Milan,—,Under 2.5 Gol,1.79,65.2,16.6,26.3,✓ Vinta,20.78
2023-24,2023-10-08T00:00:00.000,Monza vs Salernitana,—,2 - Vittoria Ospite,5.48,23.2,27.2,7.58,✗ Persa,-7.58
2023-24,2023-10-08T00:00:00.000,Lazio vs Atalanta,—,Over 2.5 Gol,2.04,57.3,17,20.41,✓ Vinta,21.23
2023-24,2023-10-08T00:00:00.000,Lazio vs Atalanta,—,1 - Vittoria Casa,2.93,47.1,37.9,24.57,✓ Vinta,47.42
2023-24,2023-10-08T00:00:00.000,Napoli vs Fiorentina,—,Under 2.5 Gol,2.29,56.3,28.8,27.95,✗ Persa,-27.95
